source,data,ts
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:34:55.974839""}",2026-08-08T02:34:55.974839
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:34:55.974839""}",2026-08-08T02:34:55.974839
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:34:55.974839""}",2026-08-08T02:34:55.990469
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.3, ""ts"": ""2026-08-08T02:34:55.974839""}",2026-08-08T02:34:55.990469
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 525.27, ""energy_wh_delta"": 0.00073, ""ts"": ""2026-08-08T02:35:00.978359""}",2026-08-08T02:35:00.986245
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:00.978359""}",2026-08-08T02:35:01.001886
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 291.92, ""energy_wh_delta"": 0.00041, ""ts"": ""2026-08-08T02:35:00.978359""}",2026-08-08T02:35:01.001886
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.5, ""ts"": ""2026-08-08T02:35:00.978359""}",2026-08-08T02:35:01.017502
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:05.987789""}",2026-08-08T02:35:05.995500
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 459.92, ""energy_wh_delta"": 0.00064, ""ts"": ""2026-08-08T02:35:05.987789""}",2026-08-08T02:35:05.995500
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:05.987789""}",2026-08-08T02:35:06.011181
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.8, ""ts"": ""2026-08-08T02:35:05.987789""}",2026-08-08T02:35:06.026756
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 623.88, ""energy_wh_delta"": 0.00087, ""ts"": ""2026-08-08T02:35:10.996235""}",2026-08-08T02:35:10.996235
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 542.02, ""energy_wh_delta"": 0.00075, ""ts"": ""2026-08-08T02:35:10.996235""}",2026-08-08T02:35:11.011728
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:10.996235""}",2026-08-08T02:35:11.027380
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.2, ""ts"": ""2026-08-08T02:35:10.996235""}",2026-08-08T02:35:11.027380
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:16.003181""}",2026-08-08T02:35:16.003181
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:16.003181""}",2026-08-08T02:35:16.018622
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:16.003181""}",2026-08-08T02:35:16.034243
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.0, ""ts"": ""2026-08-08T02:35:16.003181""}",2026-08-08T02:35:16.034243
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 454.67, ""energy_wh_delta"": 0.00063, ""ts"": ""2026-08-08T02:35:21.009993""}",2026-08-08T02:35:21.009993
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:21.009993""}",2026-08-08T02:35:21.025442
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:21.009993""}",2026-08-08T02:35:21.041106
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.4, ""ts"": ""2026-08-08T02:35:21.009993""}",2026-08-08T02:35:21.056680
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:26.018536""}",2026-08-08T02:35:26.027433
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 532.33, ""energy_wh_delta"": 0.00074, ""ts"": ""2026-08-08T02:35:26.018536""}",2026-08-08T02:35:26.042392
energy,"{""tile_id"": ""tile_3"", ""steps"": 2, ""power_mw"": 1233.82, ""energy_wh_delta"": 0.00171, ""ts"": ""2026-08-08T02:35:26.018536""}",2026-08-08T02:35:26.054358
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.2, ""ts"": ""2026-08-08T02:35:26.018536""}",2026-08-08T02:35:26.063869
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:31.025796""}",2026-08-08T02:35:31.033838
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:31.025796""}",2026-08-08T02:35:31.049471
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:31.025796""}",2026-08-08T02:35:31.049471
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -51.4, ""ts"": ""2026-08-08T02:35:31.025796""}",2026-08-08T02:35:31.065132
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:36.028036""}",2026-08-08T02:35:36.042912
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:36.028036""}",2026-08-08T02:35:36.058542
energy,"{""tile_id"": ""tile_3"", ""steps"": 2, ""power_mw"": 906.09, ""energy_wh_delta"": 0.00126, ""ts"": ""2026-08-08T02:35:36.028036""}",2026-08-08T02:35:36.058542
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.9, ""ts"": ""2026-08-08T02:35:36.028036""}",2026-08-08T02:35:36.074164
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:41.032363""}",2026-08-08T02:35:41.046134
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:41.032363""}",2026-08-08T02:35:41.046134
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:41.032363""}",2026-08-08T02:35:41.061777
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.1, ""ts"": ""2026-08-08T02:35:41.032363""}",2026-08-08T02:35:41.077393
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:46.040959""}",2026-08-08T02:35:46.040959
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 375.73, ""energy_wh_delta"": 0.00052, ""ts"": ""2026-08-08T02:35:46.040959""}",2026-08-08T02:35:46.040959
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:46.040959""}",2026-08-08T02:35:46.056413
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.7, ""ts"": ""2026-08-08T02:35:46.040959""}",2026-08-08T02:35:46.072033
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 435.14, ""energy_wh_delta"": 0.0006, ""ts"": ""2026-08-08T02:35:51.044994""}",2026-08-08T02:35:51.052570
energy,"{""tile_id"": ""tile_2"", ""steps"": 2, ""power_mw"": 1068.51, ""energy_wh_delta"": 0.00148, ""ts"": ""2026-08-08T02:35:51.044994""}",2026-08-08T02:35:51.068211
energy,"{""tile_id"": ""tile_3"", ""steps"": 2, ""power_mw"": 738.32, ""energy_wh_delta"": 0.00103, ""ts"": ""2026-08-08T02:35:51.044994""}",2026-08-08T02:35:51.083838
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.0, ""ts"": ""2026-08-08T02:35:51.044994""}",2026-08-08T02:35:51.083838
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:56.053979""}",2026-08-08T02:35:56.063966
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:56.053979""}",2026-08-08T02:35:56.080137
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:35:56.054998""}",2026-08-08T02:35:56.090608
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.7, ""ts"": ""2026-08-08T02:35:56.055987""}",2026-08-08T02:35:56.100026
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:01.062125""}",2026-08-08T02:36:01.069460
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:36:01.062125""}",2026-08-08T02:36:01.077133
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 303.84, ""energy_wh_delta"": 0.00042, ""ts"": ""2026-08-08T02:36:01.062125""}",2026-08-08T02:36:01.086872
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.0, ""ts"": ""2026-08-08T02:36:01.062125""}",2026-08-08T02:36:01.093746
